Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
tubo1_R3D.dv - C=1,1,49:34.1,00:00.0,No Label,0,1,1,402.8546448,198.0599213,0,0,0,0,448.9093419,0,0,19703.69867,13340.41614,3766,44807,14777774
tubo1_R3D.dv - C=1,2,49:34.2,00:00.1,No Label,0,1,2,402.4266357,198.7214508,0.787916916,4,0.196979229,-32.90285957,448.8177939,-0.428009033,0.661529541,19303.74267,13231.88736,3419,43853,14477807
tubo1_R3D.dv - C=1,3,49:34.2,00:00.1,No Label,0,1,3,401.4308777,199.225174,1.115917163,4,0.278979291,-63.1666185,448.1488809,-0.995758057,0.503723145,19517.81867,13159.99502,3585,42190,14638364
tubo1_R3D.dv - C=1,4,49:34.2,00:00.1,No Label,0,1,4,400.3758545,199.9405365,1.2746833,4,0.318670825,-55.86066243,447.5232318,-1.055023193,0.715362549,19908.864,13617.73475,3181,45075,14931648
tubo1_R3D.dv - C=1,5,49:34.2,00:00.1,No Label,0,1,5,399.4737549,200.4913635,1.056974039,4,0.26424351,-58.59157893,446.9631614,-0.902099609,0.550827026,19955.852,13340.23791,3462,44636,14966889
tubo1_R3D.dv - C=1,6,49:34.2,00:00.1,No Label,0,1,6,398.497406,201.0802155,1.140177058,4,0.285044264,-58.90518604,446.3557277,-0.976348877,0.588851929,19502.50533,13265.79106,3509,43014,14626879
tubo1_R3D.dv - C=1,7,49:34.2,00:00.1,No Label,0,1,7,397.4231873,201.8860168,1.342855839,4,0.33571396,-53.12545968,445.7613191,-1.07421875,0.805801392,19867.456,13673.28012,3616,44297,14900592
tubo1_R3D.dv - C=1,8,49:34.2,00:00.1,No Label,0,1,8,396.563385,202.7345428,1.207996803,4,0.301999201,-45.37822787,445.3805263,-0.859802246,0.848526001,20041.57733,13362.99583,3597,42868,15031183
tubo1_R3D.dv - C=1,9,49:34.2,00:00.1,No Label,0,1,9,396.1440125,203.625351,0.984587438,4,0.24614686,-25.21002997,445.4136978,-0.419372559,0.890808105,20226.944,13581.63498,3491,45119,15170208
tubo1_R3D.dv - C=1,10,49:34.3,00:00.1,No Label,0,1,10,395.2047729,204.3062897,1.160107057,4,0.290026764,-54.05833037,444.8908547,-0.939239502,0.680938721,20406.82,13494.70539,3558,43209,15305115
tubo1_R3D.dv - C=1,11,49:34.3,00:00.1,No Label,0,1,11,394.350769,204.7989044,0.985896526,4,0.246474131,-60.02242913,444.3592244,-0.854003906,0.492614746,19399.31733,13000.12445,3613,44241,14549488
tubo1_R3D.dv - C=1,12,49:34.3,00:00.1,No Label,0,1,12,393.3705444,205.6545258,1.301125727,4,0.325281432,-48.88288837,443.8853109,-0.980224609,0.855621338,19968.004,13898.09828,3637,45358,14976003
tubo1_R3D.dv - C=1,13,49:34.3,00:00.1,No Label,0,1,13,392.5324402,206.1826019,0.990597382,4,0.247649346,-57.7856712,443.3880715,-0.838104248,0.528076172,19939.22267,13099.23511,3508,41773,14954417
tubo1_R3D.dv - C=1,14,49:34.3,00:00.2,No Label,0,1,14,392.1852722,206.6924133,0.616792723,4,0.154198181,-34.25384826,443.3182169,-0.347167969,0.509811401,20457.33067,14103.19699,3712,45996,15342998
tubo1_R3D.dv - C=1,15,49:34.3,00:00.2,No Label,0,1,15,391.4589233,207.2230988,0.899560843,4,0.224890211,-53.84741321,442.9238098,-0.726348877,0.530685425,19474.39867,13277.6235,3611,43840,14605799
tubo1_R3D.dv - C=1,16,49:34.3,00:00.2,No Label,0,1,16,390.5787659,207.5874939,0.95260747,4,0.238151868,-67.50994921,442.317013,-0.880157471,0.364395142,20071.38533,13781.30604,3535,44265,15053539
tubo1_R3D.dv - C=1,17,49:34.3,00:00.2,No Label,0,1,17,390.3135071,208.2470703,0.710917206,4,0.177729301,-21.90830168,442.3928979,-0.265258789,0.659576416,20655.68133,14281.62193,3653,47177,15491761
tubo1_R3D.dv - C=1,18,49:34.3,00:00.2,No Label,0,1,18,389.5639038,208.5099335,0.794356409,4,0.198589102,-70.67583678,441.8556637,-0.749603271,0.262863159,19864.476,13604.10071,3496,43805,14898357
tubo1_R3D.dv - C=1,19,49:34.3,00:00.2,No Label,0,1,19,389.1520081,209.4809723,1.05478647,4,0.263696617,-22.98573035,441.9519919,-0.411895752,0.971038818,21431,14708.55252,3860,47545,16073250
tubo1_R3D.dv - C=1,20,49:34.3,00:00.2,No Label,0,1,20,388.4846191,209.6963043,0.701267316,4,0.175316829,-72.11784313,441.4666911,-0.667388916,0.215332031,19260.35467,13643.40424,3561,42489,14445266
tubo1_R3D.dv - C=1,21,49:34.3,00:00.2,No Label,0,1,21,387.6959839,210.3095245,0.99899179,4,0.249747947,-52.1324289,441.0649295,-0.788635254,0.613220215,21615.788,14998.18466,3259,48643,16211841
tubo1_R3D.dv - C=1,22,49:34.3,00:00.2,No Label,0,1,22,387.6022949,210.4765167,0.191478492,4,0.047869623,-29.29410639,441.062244,-0.093688965,0.166992188,20629.016,13655.38804,3699,44922,15471762
tubo1_R3D.dv - C=1,23,49:34.4,00:00.2,No Label,0,1,23,387.3024292,211.0885468,0.681542521,4,0.17038563,-26.10268741,441.0913128,-0.299865723,0.612030029,21102.10933,14700.44981,3553,47642,15826582
tubo1_R3D.dv - C=1,24,49:34.4,00:00.2,No Label,0,1,24,386.4822388,211.6052704,0.96938932,4,0.24234733,-57.78893795,440.6192362,-0.82019043,0.516723633,19766.21067,14246.988,3693,44326,14824658
tubo1_R3D.dv - C=1,25,49:34.4,00:00.2,No Label,0,1,25,385.7881775,211.8505249,0.736118766,4,0.184029691,-70.53861378,440.1285753,-0.694061279,0.245254517,20378.324,14365.74615,3653,44060,15283743
tubo1_R3D.dv - C=1,26,49:34.4,00:00.2,No Label,0,1,26,385.5361328,212.3178406,0.530952407,4,0.132738102,-28.3400353,440.1329062,-0.252044678,0.467315674,20435.56,13765.10868,3469,43585,15326670
tubo1_R3D.dv - C=1,27,49:34.4,00:00.3,No Label,0,1,27,385.1869507,212.5965424,0.446769339,4,0.111692335,-51.40471887,439.9616765,-0.349182129,0.278701782,21258.22267,15304.31354,3443,46334,15943667
tubo1_R3D.dv - C=1,28,49:34.4,00:00.3,No Label,0,1,28,384.5350647,212.6214905,0.652363202,4,0.163090801,-87.80839531,439.403134,-0.651885986,0.02494812,19863.636,13592.27261,3404,43633,14897727
tubo1_R3D.dv - C=1,29,49:34.4,00:00.3,No Label,0,1,29,384.2154236,213.3076782,0.756983528,4,0.189245882,-24.97714455,439.4560926,-0.319641113,0.686187744,22611.39867,15948.06885,3654,48652,16958549
tubo1_R3D.dv - C=1,30,49:34.4,00:00.3,No Label,0,1,30,383.6425781,213.3298187,0.573273165,4,0.143318291,-87.78669138,438.9661027,-0.572845459,0.022140503,20954.09867,14309.29188,3608,44423,15715574
tubo1_R3D.dv - C=1,31,49:34.4,00:00.3,No Label,0,1,31,383.550293,213.4414215,0.144816198,4,0.03620405,-39.58762747,438.9397084,-0.092285156,0.111602783,20447.62667,13527.36012,3302,44222,15335720
tubo1_R3D.dv - C=1,32,49:34.4,00:00.3,No Label,0,1,32,383.3399963,213.994812,0.592001454,4,0.148000364,-20.80755405,439.0254348,-0.210296631,0.553390503,21485.148,15300.46005,3460,47314,16113861
