Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
Arab_Col-0_Ca_DV_020813_5_ok-C1,1,49:46.8,00:00.0,No Label,0,1,1,145.7979889,356.9894409,0,0,0,0,385.6144635,0,0,15884.85733,13636.21185,3604,44444,11913643
Arab_Col-0_Ca_DV_020813_5_ok-C1,2,49:46.9,00:00.0,No Label,0,1,2,145.5990753,356.6045532,0.433249522,4,0.10831238,-152.6697837,385.1829411,-0.198913574,-0.384887695,16822.312,14007.21886,3783,45564,12616734
Arab_Col-0_Ca_DV_020813_5_ok-C1,3,49:46.9,00:00.1,No Label,0,1,3,145.8796387,356.3562622,0.374652138,4,0.093663034,131.5080746,385.0592871,0.280563354,-0.248291016,16879.39867,13923.44769,3706,44994,12659549
Arab_Col-0_Ca_DV_020813_5_ok-C1,4,49:46.9,00:00.1,No Label,0,1,4,146.219574,356.049408,0.457947093,4,0.114486773,132.0721814,384.9043319,0.339935303,-0.306854248,17826.452,14286.50267,3637,46056,13369839
Arab_Col-0_Ca_DV_020813_5_ok-C1,5,49:46.9,00:00.1,No Label,0,1,5,146.6786957,355.5335693,0.690566597,4,0.172641649,138.3294644,384.6020784,0.459121704,-0.515838623,17913.03467,14447.01928,3662,46152,13434776
Arab_Col-0_Ca_DV_020813_5_ok-C1,6,49:46.9,00:00.1,No Label,0,1,6,147.3027802,355.2544861,0.683643833,4,0.170910958,114.0937294,384.5827075,0.624084473,-0.279083252,18009.80267,14474.64814,3947,45968,13507352
Arab_Col-0_Ca_DV_020813_5_ok-C1,7,49:46.9,00:00.1,No Label,0,1,7,147.6834412,355.0032959,0.456069418,4,0.114017355,123.4200837,384.4967346,0.380661011,-0.251190186,17713.77333,14270.09299,3913,46280,13285330
Arab_Col-0_Ca_DV_020813_5_ok-C1,8,49:46.9,00:00.1,No Label,0,1,8,148.3535156,354.4928589,0.842345374,4,0.210586343,127.2988665,384.2836877,0.670074463,-0.510437012,17903.40667,14409.07803,3735,46469,13427555
Arab_Col-0_Ca_DV_020813_5_ok-C1,9,49:46.9,00:00.1,No Label,0,1,9,148.7446747,354.1272278,0.535435815,4,0.133858954,133.0681506,384.0977372,0.391159058,-0.365631104,17933.31867,14451.84168,3832,46180,13449989
Arab_Col-0_Ca_DV_020813_5_ok-C1,10,49:46.9,00:00.1,No Label,0,1,10,149.4184113,353.8129272,0.743441858,4,0.185860465,115.009318,384.0695889,0.673736572,-0.314300537,18283.54133,14317.81573,3513,45894,13712656
Arab_Col-0_Ca_DV_020813_5_ok-C1,11,49:46.9,00:00.1,No Label,0,1,11,149.7775726,353.510376,0.469610653,4,0.117402663,130.110311,383.9308625,0.359161377,-0.30255127,18017.468,14141.14022,3994,46180,13513101
Arab_Col-0_Ca_DV_020813_5_ok-C1,12,49:46.9,00:00.1,No Label,0,1,12,150.5978394,353.0106201,0.960517265,4,0.240129316,121.3523906,383.79188,0.820266724,-0.499755859,17708.876,14367.47436,3856,47170,13281657
Arab_Col-0_Ca_DV_020813_5_ok-C1,13,49:47.0,00:00.1,No Label,0,1,13,151.1546021,352.7409973,0.618612281,4,0.15465307,115.8395567,383.7628498,0.556762695,-0.269622803,18132.51067,14296.72447,3950,45646,13599383
Arab_Col-0_Ca_DV_020813_5_ok-C1,14,49:47.0,00:00.1,No Label,0,1,14,151.4692688,352.382843,0.476749056,4,0.119187264,138.6982654,383.557828,0.314666748,-0.358154297,17884.63867,14239.19149,3686,46067,13413479
Arab_Col-0_Ca_DV_020813_5_ok-C1,15,49:47.0,00:00.1,No Label,0,1,15,151.9703674,351.8638306,0.721438677,4,0.180359669,136.0061629,383.2794644,0.501098633,-0.519012451,17782.12,14110.30592,3831,44807,13336590
Arab_Col-0_Ca_DV_020813_5_ok-C1,16,49:47.0,00:00.2,No Label,0,1,16,152.6773834,351.2316895,0.948406031,4,0.237101508,131.7999248,382.9805257,0.707015991,-0.632141113,17495.716,14262.81815,3875,46612,13121787
Arab_Col-0_Ca_DV_020813_5_ok-C1,17,49:47.0,00:00.2,No Label,0,1,17,153.3881836,350.8531189,0.805327604,4,0.201331901,118.0397632,382.9175445,0.710800171,-0.378570557,18231.624,14566.84158,3919,47905,13673718
Arab_Col-0_Ca_DV_020813_5_ok-C1,18,49:47.0,00:00.2,No Label,0,1,18,153.5340881,350.3680725,0.506515678,4,0.12662892,163.2585707,382.5317012,0.145904541,-0.485046387,16888.772,13857.47789,3822,46427,12666579
Arab_Col-0_Ca_DV_020813_5_ok-C1,19,49:47.0,00:00.2,No Label,0,1,19,154.1241913,350.0957947,0.649889948,4,0.162472487,114.7690364,382.5197143,0.590103149,-0.272277832,17521.388,14055.38471,3634,45386,13141041
Arab_Col-0_Ca_DV_020813_5_ok-C1,20,49:47.0,00:00.2,No Label,0,1,20,154.4365234,349.7457275,0.469146433,4,0.117286608,138.2605688,382.3254029,0.312332153,-0.350067139,18057.43733,14074.28824,3819,44880,13543078
Arab_Col-0_Ca_DV_020813_5_ok-C1,21,49:47.0,00:00.2,No Label,0,1,21,154.9506226,349.2926941,0.685227853,4,0.171306963,131.387197,382.1191981,0.514099121,-0.453033447,17534.524,14252.88993,3982,47594,13150893
Arab_Col-0_Ca_DV_020813_5_ok-C1,22,49:47.0,00:00.2,No Label,0,1,22,155.5101166,348.989624,0.636305762,4,0.159076441,118.4438844,382.069567,0.559494019,-0.303070068,17068.316,13830.37577,3868,44928,12801237
Arab_Col-0_Ca_DV_020813_5_ok-C1,23,49:47.0,00:00.2,No Label,0,1,23,156.3542175,348.4723816,0.989972803,4,0.247493201,121.498953,381.9419355,0.844100952,-0.517242432,17430.32267,14212.13951,3448,46435,13072742
Arab_Col-0_Ca_DV_020813_5_ok-C1,24,49:47.0,00:00.2,No Label,0,1,24,156.8141022,347.8795166,0.750321786,4,0.187580446,142.1994312,381.5898593,0.459884644,-0.59286499,17587.80533,14306.60518,3654,47683,13190854
