Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
tubo1_R3D.dv - C=1,1,45:34.1,00:00.0,No Label,0,1,1,374.5974426,245.7764587,0,0,0,0,448.0282488,0,0,28077.21867,23768.77533,3894,65535,21057914
tubo1_R3D.dv - C=1,2,45:34.2,00:00.0,No Label,0,1,2,374.1908875,246.1819458,0.574201069,4,0.143550267,-45.07540171,447.9111192,-0.406555176,0.405487061,28729.64933,23851.5879,3716,65535,21547237
tubo1_R3D.dv - C=1,3,45:34.2,00:00.0,No Label,0,1,3,372.6784668,246.5279999,1.551505611,4,0.387876403,-77.11217793,446.8392265,-1.512420654,0.346054077,29671.49867,24199.88851,3652,65535,22253624
tubo1_R3D.dv - C=1,4,45:34.2,00:00.1,No Label,0,1,4,371.8296204,246.7884216,0.887896256,4,0.221974064,-72.94431549,446.2754661,-0.848846436,0.260421753,28922.16533,23451.43387,3777,65535,21691624
tubo1_R3D.dv - C=1,5,45:34.2,00:00.1,No Label,0,1,5,370.6901245,247.0123138,1.161283133,4,0.290320783,-78.88399204,445.4506163,-1.13949585,0.223892212,29092.25067,23364.89582,3762,65535,21819188
tubo1_R3D.dv - C=1,6,45:34.2,00:00.1,No Label,0,1,6,369.9748535,247.3581238,0.794479144,4,0.198619786,-64.19781893,445.0476757,-0.715270996,0.345809937,28521.68267,22730.39827,3888,65535,21391262
tubo1_R3D.dv - C=1,7,45:34.2,00:00.1,No Label,0,1,7,368.4816284,247.6817474,1.527891836,4,0.381972959,-77.77158765,443.9875657,-1.493225098,0.323623657,27750.53867,23707.23838,3556,65535,20812904
tubo1_R3D.dv - C=1,8,45:34.2,00:00.1,No Label,0,1,8,367.6890259,247.8216553,0.80485588,4,0.20121397,-79.98950788,443.4081557,-0.792602539,0.139907837,28516.04933,23153.74932,3594,65535,21387037
tubo1_R3D.dv - C=1,9,45:34.2,00:00.1,No Label,0,1,9,367.0552368,248.0045471,0.659649909,4,0.164912477,-73.90356465,442.9851039,-0.633789063,0.182891846,28024.70267,22824.30947,4028,65535,21018527
tubo1_R3D.dv - C=1,10,45:34.2,00:00.1,No Label,0,1,10,366.121582,248.4693298,1.042944979,4,0.260736245,-63.53547131,442.4726214,-0.933654785,0.464782715,28430.60533,22965.62174,3726,65535,21322954
