Image Name," ""Image Plane"""," ""Image Date and Time"""," ""Elapsed Time"""," ""Stage Label"""," ""Wavelength"""," ""Object #"""," ""Frame #"""," ""X"""," ""Y"""," ""Distance"""," ""Time Interval"""," ""Velocity"""," ""Absolute Angle"""," ""Distance To Origin"""," ""Delta X"""," ""Delta Y"""," ""Avgerage Intensity"""," ""Intensity S.D."""," ""Minimum Intensity"""," ""Maximum Intensity"""," ""Total Intensity"""
Test_set,31," ""16:38:16.422"""," ""00:00:00.075"""," ""No Label""",0,1,31,79.5751,331.24,0.977231,0.003,325.744,96.1689,340.664, , ,2027.38,1579.12,448,5570,1.61E+06
Test_set,32," ""16:38:16.425"""," ""00:00:00.078"""," ""No Label""",0,1,32,80.316,331.202,0.741789,0.003,247.263,92.9148,340.801, , ,2112.51,1581.98,472,5547,1.67E+06
Test_set,33," ""16:38:16.427"""," ""00:00:00.080"""," ""No Label""",0,1,33,80.7934,331.111,0.48602,0.002,243.01,100.763,340.826, , ,2085.66,1567.57,477,5521,1.65E+06
Test_set,34," ""16:38:16.430"""," ""00:00:00.083"""," ""No Label""",0,1,34,81.6107,331.019,0.822452,0.003,274.151,96.4555,340.931, , ,2028.69,1550.22,431,5493,1.61E+06
Test_set,35," ""16:38:16.432"""," ""00:00:00.085"""," ""No Label""",0,1,35,82.5088,330.971,0.899369,0.002,449.684,93.0325,341.101, , ,1995.6,1548.14,437,5585,1.58E+06
Test_set,36," ""16:38:16.435"""," ""00:00:00.088"""," ""No Label""",0,1,36,83.359,330.885,0.85459,0.003,284.863,95.7921,341.224, , ,2071.54,1584.33,459,5425,1.64E+06
Test_set,37," ""16:38:16.437"""," ""00:00:00.090"""," ""No Label""",0,1,37,83.3588,330.888,0.00284454,0.002,1.42227,-3.84474,341.226, , ,2102.21,1591.54,427,5564,1.66E+06
Test_set,38," ""16:38:16.440"""," ""00:00:00.093"""," ""No Label""",0,1,38,83.594,330.91,0.236256,0.003,78.7519,84.5596,341.306, , ,2030.38,1578.77,382,5487,1.61E+06
Test_set,39," ""16:38:16.442"""," ""00:00:00.095"""," ""No Label""",0,1,39,84.3905,330.842,0.799362,0.002,399.681,94.8554,341.436, , ,2069.8,1591.46,371,5410,1.64E+06
Test_set,40," ""16:38:16.445"""," ""00:00:00.098"""," ""No Label""",0,1,40,84.4157,331.02,0.178818,0.003,59.606,8.10383,341.614, , ,2126.77,1615.28,449,5768,1.68E+06
Test_set,41," ""16:38:16.448"""," ""00:00:00.101"""," ""No Label""",0,1,41,84.5849,331.011,0.169328,0.003,56.4425,92.7789,341.648, , ,2042.46,1600.69,391,5495,1.62E+06
Test_set,42," ""16:38:16.450"""," ""00:00:00.103"""," ""No Label""",0,1,42,85.4119,331.021,0.827089,0.002,413.544,89.3405,341.863, , ,2119.08,1619.61,413,5611,1.68E+06
Test_set,43," ""16:38:16.453"""," ""00:00:00.106"""," ""No Label""",0,1,43,85.6101,330.912,0.226055,0.003,75.3516,118.734,341.807, , ,2055.97,1605.61,389,5464,1.63E+06
Test_set,44," ""16:38:16.455"""," ""00:00:00.108"""," ""No Label""",0,1,44,86.5101,330.938,0.900334,0.002,450.167,88.3394,342.059, , ,1983.19,1568.81,401,5415,1.57E+06
Test_set,45," ""16:38:16.458"""," ""00:00:00.111"""," ""No Label""",0,1,45,87.3758,330.885,0.867384,0.003,289.128,93.5058,342.227, , ,2085.07,1612.33,408,5604,1.65E+06
Test_set,46," ""16:38:16.461"""," ""00:00:00.114"""," ""No Label""",0,1,46,87.5776,330.949,0.211531,0.003,70.5104,72.5029,342.34, , ,2058.48,1595.84,381,5616,1.63E+06
Test_set,47," ""16:38:16.463"""," ""00:00:00.116"""," ""No Label""",0,1,47,88.5082,330.883,0.933,0.002,466.5,94.0421,342.516, , ,2012.58,1545.37,371,5596,1.59E+06
Test_set,48," ""16:38:16.466"""," ""00:00:00.119"""," ""No Label""",0,1,48,89.4321,330.837,0.92498,0.003,308.327,92.8311,342.712, , ,2110.36,1572.54,420,5474,1.67E+06
Test_set,49," ""16:38:16.468"""," ""00:00:00.121"""," ""No Label""",0,1,49,89.6739,330.918,0.254894,0.002,127.447,71.5597,342.853, , ,2039.85,1524.18,416,5389,1.62E+06
