Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
tubo4_R3D.dv - C=1,1,39:26.0,00:00.0,No Label,0,1,1,313.5663147,134.9447174,0,0,0,0,341.370635,0,0,18652.52667,14546.00883,3583,46849,13989395
tubo4_R3D.dv - C=1,2,39:26.1,00:00.1,No Label,0,1,2,313.5708618,134.4752197,0.4695197,4,0.117379925,179.4452551,341.189493,0.004547119,-0.469497681,20375.11733,15295.19766,3488,48132,15281338
tubo4_R3D.dv - C=1,3,39:26.1,00:00.1,No Label,0,1,3,313.7275696,133.988266,0.511547909,4,0.127886977,162.1613164,341.1419695,0.156707764,-0.486953735,22582.988,17214.99707,3771,55177,16937241
tubo4_R3D.dv - C=1,4,39:26.1,00:00.1,No Label,0,1,4,313.6736145,133.9713593,0.056541916,4,0.014135479,-107.3983905,341.08571,-0.053955078,-0.016906738,22162.99733,16892.52367,4148,53994,16622248
tubo4_R3D.dv - C=1,5,39:26.1,00:00.1,No Label,0,1,5,313.417572,133.9280548,0.259678699,4,0.064919675,-99.59967064,340.8332412,-0.25604248,-0.043304443,21695.06933,15899.14746,3794,51179,16271302
tubo4_R3D.dv - C=1,6,39:26.1,00:00.1,No Label,0,1,6,313.3241272,133.9064941,0.095899935,4,0.023974984,-102.9926539,340.7388411,-0.093444824,-0.021560669,21312.4,15531.15194,3834,50276,15984300
tubo4_R3D.dv - C=1,7,39:26.1,00:00.1,No Label,0,1,7,313.282196,133.9000854,0.042418072,4,0.010604518,-98.68983365,340.6977652,-0.041931152,-0.006408691,21371.872,15635.42296,3970,50447,16028904
tubo4_R3D.dv - C=1,8,39:26.1,00:00.1,No Label,0,1,8,313.2902527,133.9292145,0.030222669,4,0.007555667,15.4606376,340.7166226,0.008056641,0.029129028,21528.948,15588.96062,4005,50361,16146711
tubo4_R3D.dv - C=1,9,39:26.1,00:00.1,No Label,0,1,9,313.390564,133.9660797,0.106870942,4,0.026717736,69.82125659,340.8233503,0.100311279,0.036865234,21673.48133,15541.45403,3987,50902,16255111
tubo4_R3D.dv - C=1,10,39:26.1,00:00.1,No Label,0,1,10,313.7056885,134.0445404,0.324745344,4,0.081186336,76.01866797,341.1439547,0.315124512,0.078460693,21282.42267,15783.53719,3942,50768,15961817
tubo4_R3D.dv - C=1,11,39:26.1,00:00.1,No Label,0,1,11,314.0278931,134.1475525,0.338271026,4,0.084567757,72.27045409,341.4807219,0.32220459,0.103012085,22960.492,17165.26504,3913,54770,17220369
tubo4_R3D.dv - C=1,12,39:26.1,00:00.2,No Label,0,1,12,314.0379028,134.116272,0.032843054,4,0.008210763,162.2554654,341.4776403,0.010009766,-0.031280518,22681.38533,17010.01523,4122,53711,17011039
tubo4_R3D.dv - C=1,13,39:26.1,00:00.2,No Label,0,1,13,313.8520203,134.0479889,0.198027544,4,0.049506886,-110.1706619,341.2798763,-0.185882568,-0.068283081,21652.93467,16064.23106,3853,52014,16239701
tubo4_R3D.dv - C=1,14,39:26.1,00:00.2,No Label,0,1,14,313.7034912,134.0671997,0.149766268,4,0.037441567,-82.63032185,341.1508382,-0.148529053,0.019210815,21029.284,15623.05476,3849,52283,15771963
tubo4_R3D.dv - C=1,15,39:26.2,00:00.2,No Label,0,1,15,313.7676086,134.074173,0.064495515,4,0.016123879,83.79310738,341.212538,0.064117432,0.006973267,21026.35333,15495.93088,3805,49826,15769765
tubo4_R3D.dv - C=1,16,39:26.2,00:00.2,No Label,0,1,16,313.7796631,134.1653595,0.091979844,4,0.022994961,7.530583,341.2594624,0.012054443,0.091186523,21082.996,15443.32757,3966,50158,15812247
tubo4_R3D.dv - C=1,17,39:26.2,00:00.2,No Label,0,1,17,313.9458313,134.0996857,0.178675479,4,0.04466887,111.5652638,341.3864536,0.166168213,-0.065673828,21073.008,15403.64101,3756,48923,15804756
tubo4_R3D.dv - C=1,18,39:26.2,00:00.2,No Label,0,1,18,314.2738037,134.1093597,0.328115057,4,0.082028764,88.31053357,341.6918847,0.327972412,0.009674072,21174.35867,15337.19779,3980,48078,15880769
tubo4_R3D.dv - C=1,19,39:26.2,00:00.2,No Label,0,1,19,314.221405,134.0454102,0.082675095,4,0.020668774,-140.6697901,341.6185934,-0.052398682,-0.063949585,21382.00533,15506.96528,3733,49176,16036504
