"fl.nm","var.nm","ts.nm","min","25%.quant","median","mean","75%.quant","max","sd","mad","iqr.1","1%.quant","99%.quant","iqr.2","period.pgram","period.ar"
"Arab_Col-0_H-VP_190815-A.csv","H+_flux","raw",-0.5632,7.35,9.408,8.702,10.97,13.61,3.0689159040316,2.5758678766457,3.62401776708867,-0.147768987307245,12.5389976971501,12.6867666844574,11.7,Inf
"Arab_Col-0_H-VP_190815-A.csv","H+_flux","smth",-0.5213,7.35,9.397,8.702,10.97,13.59,3.06758633328933,2.55029669293899,3.62145288054023,-0.167864780829417,12.5273597111137,12.6952244919431,11.7,Inf
"Arab_Col-0_H-VP_190815-A.csv","H+_flux","osc",-2.636,-0.9094,0.04875,-2.495e-17,0.8249,4.036,1.18824887643553,1.28879385702574,1.73436214299621,-2.52875641441949,3.06939764268676,5.59815405710625,0.835714285714286,0.782745098039216
"Arab_Col-0_H-VP_190815-A.csv","H+_flux","trend",2.011,7.771,9.595,8.702,10.74,11.91,2.77754704283779,2.11254297709661,2.97039704786949,2.09667951833725,11.9059799297151,9.80930041137781,11.7,Inf
