"fl.nm","var.nm","ts.nm","min","25%.quant","median","mean","75%.quant","max","sd","mad","iqr.1","1%.quant","99%.quant","iqr.2","period.pgram","period.ar"
"TS_Object_1_Arab_Col-0_Track_190815-A.csv","growth_rate","raw",-0.02559,2.062,2.975,2.874,3.613,9.766,1.44479244862625,1.1322196799777,1.55126545536591,0.207522157527251,7.91606856819254,7.70854641066529,23.4,Inf
"TS_Object_1_Arab_Col-0_Track_190815-A.csv","growth_rate","smth",0.1608,2.075,2.968,2.874,3.61,9.761,1.44112487362056,1.14013570058349,1.53479372106746,0.211651732471825,7.90944742548809,7.69779569301627,23.4,Inf
"TS_Object_1_Arab_Col-0_Track_190815-A.csv","growth_rate","osc",-2.947,-0.4282,0.004168,-1.716e-17,0.4228,4.294,0.844787084551974,0.630192868329165,0.850936031101516,-2.63504994950743,2.52451594193878,5.15956589144621,0.835714285714286,0.782745098039216
"TS_Object_1_Arab_Col-0_Track_190815-A.csv","growth_rate","trend",0.1778,2.125,3.086,2.874,3.613,5.477,1.14770814148467,1.0539369041039,1.48790077970608,0.197866452414821,5.43544805736913,5.23758160495431,23.4,Inf
