"time","tip.loc.raw","tip.loc.smth","growth.raw","growth.smth","tip.fluo","shank.fluo"
0,124.107773308636,124.137167178638,NA,NA,1.67727478597003,1.45976231326621
0.0666666666666667,124.766800944964,124.770898583638,2.13526338128255,2.05330306056132,1.71093876007245,1.46644439752489
0.133333333333333,125.508944684509,125.44078534738,2.4045613011447,2.17044718214612,1.78144774014286,1.43472023119728
0.2,126.147822437047,126.149950256809,2.06997733465728,2.29770919901105,1.71957145232604,1.37674052907468
0.266666666666667,126.982589680897,126.899219775636,2.70466340018574,2.4276489756588,1.75490979048295,1.45838662362579
0.333333333333333,127.680139074071,127.68100492791,2.26007468241931,2.53300031085756,1.80573955121912,1.39658920709204
0.4,128.308932632431,128.55263214047,2.03730433375132,2.82409047286609,1.69874960186747,1.37682764712243
0.466666666666667,129.671546698352,129.479782301721,4.41489818848083,3.00398599260517,1.75199213054665,1.43318774622236
0.533333333333333,130.458166154459,130.448577084376,2.54866355679458,3.13891544049377,1.79508630351891,1.44080933103859
0.6,131.317699190678,131.382516953748,2.78490508754361,3.02598478950175,1.76730458532361,1.45481752162942
0.666666666666667,132.267489715057,132.211385179307,3.07734124458947,2.68555045704521,1.76791328491057,1.4467112204181
0.733333333333333,133.016491933125,132.98559037348,2.42678291558773,2.50844108742782,1.75414368895441,1.41077504192489
0.8,133.668341126936,133.723152255542,2.11200507677938,2.38971598668237,1.69367580186437,1.39717736376954
0.866666666666667,134.421920632752,134.385675856518,2.44161342401298,2.14659038015727,1.69970606687988,1.49347974232775
0.933333333333333,135.112827327038,135.028545440675,2.23855219852865,2.08291095293017,1.7327727648478,1.41918301839995
1,135.730691183614,135.770539839305,2.00189187044689,2.40407743344265,1.74844156009992,1.43484640971054
1.06666666666667,136.460137343018,136.667189295399,2.36342087483823,2.90516306738469,1.77714019206586,1.4160436276841
1.13333333333333,137.771880717549,137.723576357528,4.25007608009261,3.42271626542545,1.86846539911332,1.44360532442001
1.2,139.033805227657,138.913346327545,4.08866191316427,3.85487968802356,1.83527005388474,1.44003921482127
1.26666666666667,140.020987591758,140.119026260563,3.19849159051464,3.90642830225734,1.82368605950747,1.43788946235522
1.33333333333333,141.30887608863,141.217319306784,4.17278577552325,3.55849253391108,1.75774804426622,1.39473070757789
1.4,142.280871512573,142.231514536918,3.14928558548065,3.2860138437324,1.77738008739662,1.4245655854985
1.46666666666667,143.188399304155,143.237219235589,2.94040910281086,3.25850434349252,1.75584356891265,1.43111096620709
1.53333333333333,144.120952782476,144.239121203473,3.02149285338248,3.24618341588542,1.82510936586601,1.41959264141597
1.6,145.359314809594,145.245114449938,4.01231897346305,3.25943924440463,1.75528925083223,1.44244639124618
1.66666666666667,146.29086122163,146.271871191177,3.0182299374712,3.32671340350698,1.7458905467996,1.43008623598648
1.73333333333333,147.259281232027,147.307709639764,3.13770117050663,3.35613832603082,1.71393576372342,1.42421732427084
1.8,148.230982145896,148.328550011074,3.14833136665669,3.30754424069179,1.65349555000816,1.53936135931623
1.86666666666667,149.423206865528,149.321964154769,3.86283312832572,3.21868268726796,1.87649440062086,1.45526320400438
1.93333333333333,150.26700338347,150.245125769922,2.73391843785747,2.99106301948851,1.69062731267145,1.43915506369434
2,151.041960141733,151.026055186789,2.5108761708664,2.53022771016784,1.8102218779846,1.46398867502507
2.06666666666667,151.694312387395,151.662395465883,2.11363497533965,2.06175586740964,1.58465211739732,1.44682890929042
2.13333333333333,152.273298393634,152.24917997067,1.87592681892097,1.90119411798551,1.7458971362703,1.35716856062174
2.2,152.789682281236,152.895787265892,1.67309463989245,2.0950212152721,1.66634305191994,1.38263094651453
2.26666666666667,153.618489468009,153.670266954322,2.68535269009772,2.50933045458557,1.67658630514091,1.37346784368615
2.33333333333333,154.529676174756,154.567665058426,2.95226406478003,2.90758870265848,1.80730646606461,1.43537719145558
2.4,155.568097442833,155.492519989981,3.36450671541427,2.9965494001932,1.63540753090545,1.42078901262415
2.46666666666667,156.385338909774,156.315424404241,2.64787951496047,2.66622758319204,1.9227850907473,1.41357431575337
2.53333333333333,157.021993523756,156.985914875059,2.06277431905075,2.17240320575134,1.75807619849715,1.47584080970963
2.6,157.537846633601,157.555764590573,1.67137490881075,1.84632504511126,1.86886460110643,1.42238787917664
2.66666666666667,158.023840229602,158.10035484917,1.57462945690851,1.76448387424694,1.7545019314063,1.45827563948659
2.73333333333333,158.747087932564,158.70007016874,2.34333774579864,1.94309022942928,1.78785552690074,1.43454540388747
2.8,159.385004729311,159.410342915865,2.06686381771428,2.30129861641399,1.70784653671404,1.42075193881674
2.86666666666667,160.115569054674,160.192575566738,2.367043756026,2.53445021571391,1.84544509532991,1.37100691904979
2.93333333333333,161.136627453286,161.025434684874,3.3082506537315,2.69848103280051,1.71916983550782,1.37643486611173
3,161.927743866041,161.946712856466,2.56323379076922,2.98496062280201,1.89848284051312,1.43127356880637
3.06666666666667,162.699517361906,162.881020835536,2.50056233384649,3.0271774726544,1.74498868421398,1.4294775205628
3.13333333333333,163.989554644374,163.770591384243,4.1797478859778,2.88222725879132,1.74706590855347,1.51319729721866
3.2,164.650796567214,164.62712682591,2.14243771608425,2.77519281824593,1.92389009455691,1.40059234462066
3.26666666666667,165.221760879285,165.376927026406,1.84993636135838,2.42936839540995,1.80336287458396,1.37629100399019
3.33333333333333,166.283193114335,166.039252085135,3.43906273163914,2.14594709910703,1.6211518301401,1.41655463898466
3.4,166.621508758522,166.771605998843,1.09614979179374,2.37284205984835,1.71342154263095,1.42192542348517
