Time,Growth rate
0,1.851652561
0.066666667,0.501670596
0.133333333,2.870635926
0.2,3.736482938
0.266666667,3.677624716
0.333333333,3.072317513
0.4,2.89127162
0.466666667,2.359474013
0.533333333,0.160648341
0.6,0.437925774
0.666666667,2.722485966
0.733333333,0.324659824
0.8,1.116705638
0.866666667,3.072385553
0.933333333,3.526231495
1,3.626711026
1.066666667,3.267587099
1.133333333,3.180637895
1.2,2.579413118
1.266666667,2.690017715
1.333333333,1.971306537
1.4,0.468323327
1.466666667,0.372726832
1.533333333,0.140928601
1.6,0.56751171
1.666666667,1.673393086
1.733333333,0.651037184
1.8,1.087551929
1.866666667,3.255177818
1.933333333,3.166252202
2,2.403411938
2.066666667,1.574715006
2.133333333,2.664764992
2.2,2.913971207
2.266666667,2.768886306
2.333333333,0.009216369
2.4,0.765473429
2.466666667,2.589949667
2.533333333,0.579374075
2.6,0.548624656
2.666666667,2.679782489
2.733333333,0.732422299
2.8,2.917101067
2.866666667,2.810342375
2.933333333,0.68536553
3,3.022939593
3.066666667,2.996957865
3.133333333,0.825861913
3.2,2.619887461
3.266666667,0.607161791
3.333333333,2.750068264
3.4,0.69271649
3.466666667,2.949481837
3.533333333,2.68618801
3.6,0.902107383
3.666666667,3.062804811
3.733333333,3.122230037
3.8,3.777469203
3.866666667,3.484244063
3.933333333,3.094835659
4,3.095772025
4.066666667,2.833184523
4.133333333,3.015182983
4.2,2.677449674
4.266666667,1.126496981
4.333333333,2.857931804
4.4,2.976769294
4.466666667,1.613310137
4.533333333,3.321345527
4.6,3.159049635
4.666666667,3.09197148
4.733333333,2.904108583
4.8,2.915766178
4.866666667,3.199436497
4.933333333,2.178061997
5,0.903577056
5.066666667,0.40022489
5.133333333,2.79878522
5.2,1.096818389
5.266666667,2.947881267
5.333333333,3.903266259
5.4,2.594712497
5.466666667,2.749533661
5.533333333,1.188297142
5.6,2.429646388
5.666666667,0.81308975
5.733333333,3.332494439
5.8,2.822268892
5.866666667,0.812649107
5.933333333,2.51018683
6,1.048765638
6.066666667,2.866537299
6.133333333,3.60255667
6.2,3.1536064
6.266666667,1.14010507
6.333333333,3.66588288
6.4,2.732640191
6.466666667,2.454490869
6.533333333,0.202822723
6.6,0.328569234
6.666666667,2.145509506
6.733333333,2.563647176
6.8,0.451572743
6.866666667,3.029704757
6.933333333,2.853664696
7,2.625107134
7.066666667,3.060199835
7.133333333,2.941640986
7.2,2.381016912
7.266666667,3.152274751
7.333333333,3.441751188
7.4,3.944595967
7.466666667,2.424310073
7.533333333,3.486246396
7.6,6.004432837
7.666666667,4.314126842
7.733333333,4.34316715
7.8,4.571151228
7.866666667,3.05029185
7.933333333,3.117632447
8,4.072797118
8.066666667,3.156609899
8.133333333,3.09496526
8.2,2.821637088
8.266666667,2.600768097
8.333333333,2.542953162
8.4,0.677651688
8.466666667,2.4376946
8.533333333,0.762582683
8.6,3.780462983
8.666666667,3.85718344
8.733333333,3.60421232
8.8,3.665066395
8.866666667,3.970943817
8.933333333,2.950039121
9,3.393442474
9.066666667,2.334856333
9.133333333,3.108087345
9.2,3.429141026
9.266666667,3.511742121
9.333333333,2.353130052
9.4,3.474387919
9.466666667,3.599754052
9.533333333,4.321792731
9.6,3.71986811
9.666666667,3.886917113
9.733333333,3.254607575
9.8,2.085089594
9.866666667,2.664395629
9.933333333,2.761858701
10,3.10734214
10.06666667,0.491833892
10.13333333,3.305462944
10.2,2.026846977
10.26666667,3.379238222
10.33333333,3.939548014
10.4,3.922861906
10.46666667,4.344550639
10.53333333,5.203272845
10.6,3.504481234
10.66666667,2.550829653
10.73333333,3.051983141
10.8,2.090383789
10.86666667,2.628548037
10.93333333,3.17516226
11,0.665787379
11.06666667,2.988232488
11.13333333,3.530955446
11.2,3.123347844
11.26666667,3.839599846
11.33333333,3.373373784
11.4,3.348668624
11.46666667,2.985698792
11.53333333,3.387840478
11.6,2.876953967
11.66666667,3.429367827
11.73333333,3.458398415
11.8,3.31093858
11.86666667,3.514463739
11.93333333,3.726254191
12,4.288744517
12.06666667,3.901043604
12.13333333,2.367606465
12.2,3.81711734
12.26666667,2.844498676
12.33333333,3.001088891
12.4,3.182782789
12.46666667,2.804471457
12.53333333,2.995470695
12.6,3.460274388
12.66666667,3.555223203
12.73333333,3.890513536
12.8,3.816738258
12.86666667,4.15344772
